address,area_sqft,baths,beds,broker_name,city,details_url,id,img_url,latitude,longitude,price,state,status_text,status_type,street,zipcode
"641 Sabal Palm Rd, Miami, FL 33137",4619,5.0,5,"Compass Florida, LLC",Miami,https://www.zillow.com/homedetails/641-Sabal-Palm-Rd-Miami-FL-33137/43830091_zpid/,43830091,https://photos.zillowstatic.com/fp/97a4303358c98e0bd57f68bab141bf26-p_e.jpg,25.816685,-80.18415,"$5,300,000",FL,House for sale,FOR_SALE,641 Sabal Palm Rd,33137
"1300 S Miami Ave UNIT 2302, Miami, FL 33130",1088,2.0,2,Global Luxury Realty LLC,Miami,https://www.zillow.com/homedetails/1300-S-Miami-Ave-UNIT-2302-Miami-FL-33130/247652798_zpid/,247652798,https://photos.zillowstatic.com/fp/4ee8b5adde509ff078344fe2533975ae-p_e.jpg,25.761328,-80.19377,"$828,000",FL,Condo for sale,FOR_SALE,1300 S Miami Ave UNIT 2302,33130
"485 Brickell Ave APT 3502, Miami, FL 33131",1386,2.0,2,The Keyes Company,Miami,https://www.zillow.com/homedetails/485-Brickell-Ave-APT-3502-Miami-FL-33131/2075900605_zpid/,2075900605,https://photos.zillowstatic.com/fp/1275447655e648bd9b8f2df8a5d1f03a-p_e.jpg,25.768652,-80.18913,"$1,100,000",FL,Condo for sale,FOR_SALE,485 Brickell Ave APT 3502,33131
"55 SE 6th St APT 4104, Miami, FL 33131",738,1.0,1,Douglas Elliman,Miami,https://www.zillow.com/homedetails/55-SE-6th-St-APT-4104-Miami-FL-33131/92438407_zpid/,92438407,https://photos.zillowstatic.com/fp/e44a9e46c1fb29b0003462c087b39a24-p_e.jpg,25.76855,-80.19139,"$480,000",FL,Condo for sale,FOR_SALE,55 SE 6th St APT 4104,33131
"1300 Brickell Bay Dr APT 2609, Miami, FL 33131",997,2.0,2,"Loji Realty, Inc.",Miami,https://www.zillow.com/homedetails/1300-Brickell-Bay-Dr-APT-2609-Miami-FL-33131/121343762_zpid/,121343762,https://photos.zillowstatic.com/fp/608abb0d2b51e0c9b6f1d168164b67a6-p_e.jpg,25.760386,-80.190346,"$730,000",FL,Condo for sale,FOR_SALE,1300 Brickell Bay Dr APT 2609,33131
"8794 SW 12th St APT 108, Miami, FL 33174",670,1.0,1,Westside Estate Agency Florida,Miami,https://www.zillow.com/homedetails/8794-SW-12th-St-APT-108-Miami-FL-33174/66177120_zpid/,66177120,https://photos.zillowstatic.com/fp/47b5af9e18e0aece91b77e16c3ddc906-p_e.jpg,25.757652,-80.337296,"$205,000",FL,Condo for sale,FOR_SALE,8794 SW 12th St APT 108,33174
"300 Biscayne Blvd #LL02, Miami, FL 33131",1213,3.0,2,One Sotheby's International Realty,Miami,https://www.zillow.com/homedetails/300-Biscayne-Blvd-LL02-Miami-FL-33131/2066409649_zpid/,2066409649,https://photos.zillowstatic.com/fp/eed0642686f6d0bf87fc0fc9137c8bce-p_e.jpg,25.771225,-80.18724,"$549,000",FL,Condo for sale,FOR_SALE,300 Biscayne Blvd #LL02,33131
"690 SW 1st Ct APT 1704, Miami, FL 33130",795,2.0,0,Global Prestige Real Estate LLC,Miami,https://www.zillow.com/homedetails/690-SW-1st-Ct-APT-1704-Miami-FL-33130/72566357_zpid/,72566357,https://photos.zillowstatic.com/fp/2ef3edf59cae5e9e09ade52effdf7428-p_e.jpg,25.767841,-80.19623,"$410,000",FL,Condo for sale,FOR_SALE,690 SW 1st Ct APT 1704,33130
"300 Biscayne Blvd #T3607, Miami, FL 33131",733,2.0,1,Fortune International Realty,Miami,https://www.zillow.com/homedetails/300-Biscayne-Blvd-T3607-Miami-FL-33131/2066409952_zpid/,2066409952,https://photos.zillowstatic.com/fp/a775345feced4184914e40ae70805e59-p_e.jpg,25.771225,-80.18724,"$389,000",FL,Condo for sale,FOR_SALE,300 Biscayne Blvd #T3607,33131
"300 S Biscayne Blvd #T-3314, Miami, FL 33131",1006,2.0,2,Fortune International Realty,Miami,https://www.zillow.com/homedetails/300-S-Biscayne-Blvd-T-3314-Miami-FL-33131/92450717_zpid/,92450717,https://photos.zillowstatic.com/fp/d1d02a569bf109f4eb03d2af64d1d002-p_e.jpg,25.771225,-80.18724,"$619,000",FL,Condo for sale,FOR_SALE,300 S Biscayne Blvd #T-3314,33131
